Ime_postaje,x,y
Jesenice,233,202
Anhovo,107,354
Nova_Gorica,107,379
Šempeter_pri_Gorici,109,399
Prvačina,139,419
Ajdovščina,177,412
Kreplje,169,439
Sežana,175,483
Divača,206,492
Prešnica,190,542
Rakitovec,196,572
Koper,118,545
Pivka,261,492
Ilirska_Bistrica,271,549
Postojna,278,461
Ljubljana,347,349
Šiška,340,342
Moste,358,349
Zalog,382,348
Kranj,288,274
Kamnik,377,282
Grosuplje,393,402
Kočevje,432,513
Trebnje,480,412
Novo_mesto,518,446
Straža,465,446
Metlika,554,522
Zidani_Most,526,350
Sevnica,556,379
Dobova,633,420
Celje,549,292
Velenje,506,240
Grobelno,594,293
Stranje,624,294
Imeno,628,328
Rogatec,686,294
Pragersko,648,232
Kidričevo,687,234
Ormož,781,225
Središče,798,234
Tezno,649,184
Maribor,649,169
Šentilj,649,125
Studenci,637,169
Ruše,602,176
Dravograd,483,165
Otiški_Vrh,490,178
Prevalje,448,165
Ljutomer,786,186
Gornja_Radgona,723,139
Murska_Sobota,791,118
Puconci,795,101
Hodoš,814,72
Lendava,857,179
