Ime_postaje_1,Ime_postaje_2
Jesenice,Anhovo
Anhovo,Nova_Gorica
Nova_Gorica,Šempeter_pri_Gorici
Šempeter_pri_Gorici,Prvačina
Prvačina,Ajdovščina
Prvačina,Kreplje
Kreplje,Sežana
Sežana,Divača
Divača,Prešnica
Prešnica,Rakitovec
Prešnica,Koper
Divača,Pivka
Pivka,Ilirska_Bistrica
Pivka,Postojna
Postojna,Ljubljana
Ljubljana,Šiška
Šiška,Kranj
Kranj,Jesenice
Ljubljana,Kamnik
Ljubljana,Moste
Ljubljana,Grosuplje
Grosuplje,Kočevje
Grosuplje,Trebnje
Trebnje,Novo_mesto
Novo_mesto,Straža
Novo_mesto,Metlika
Trebnje,Sevnica
Sevnica,Dobova
Sevnica,Zidani_Most
Moste,Zalog
Zalog,Zidani_Most
Zidani_Most,Celje
Celje,Velenje
Celje,Grobelno
Grobelno,Stranje
Stranje,Imeno
Stranje,Rogatec
Grobelno,Pragersko
Pragersko,Tezno
Tezno,Maribor
Maribor,Šentilj
Maribor,Studenci
Studenci,Ruše
Ruše,Dravograd
Dravograd,Otiški_Vrh
Dravograd,Prevalje
Pragersko,Kidričevo
Kidričevo,Ormož
Ormož,Središče
Ormož,Ljutomer
Ljutomer,Gornja_Radgona
Ljutomer,Murska_Sobota
Murska_Sobota,Puconci
Puconci,Hodoš
Središče,Lendava
