Ime_postaje_1,Ime_postaje_2
Anhovo,Kranj
Kranj,Jesenice
Anhovo,Nova_Gorica
Nova_Gorica,Šempeter_pri_Gorici
Šempeter_pri_Gorici,Prvačina
Prvačina,Ajdovščina
Ajdovščina,Kreplje
Prvačina,Kreplje
Kreplje,Sežana
Ajdovščina,Divača
Sežana,Divača
Sežana,Koper
Divača,Prešnica
Prešnica,Rakitovec
Rakitovec,Ilirska_Bistrica
Ilirska_Bistrica,Pivka
Pivka,Divača
Pivka,Postojna
Postojna,Ljubljana
Ljubljana,Šiška
Šiška,Kranj
Ljubljana,Moste
Moste,Zalog
Zalog,Grosuplje
Grosuplje,Straža
Straža,Trebnje
Trebnje,Novo_mesto
Novo_mesto,Metlika
Metlika,Kočevje
Kočevje,Pivka
Novo_mesto,Sevnica
Novo_mesto,Dobova
Sevnica,Zidani_Most
Zidani_Most,Celje
Celje,Velenje
Velenje,Ruše
Ruše,Dravograd
Dravograd,Otiški_Vrh
Otiški_Vrh,Prevalje
Prevalje,Kranj
Ruše,Studenci
Studenci,Maribor
Maribor,Šentilj
Šentilj,Gornja_Radgona
Gornja_Radgona,Ljutomer
Maribor,Tezno
Tezno,Pragersko
Tezno,Kidričevo
Pragersko,Kidričevo
Pragersko,Stranje
Stranje,Rogatec
Stranje,Imeno
Stranje,Grobelno
Grobelno,Celje
Kidričevo,Ormož
Ormož,Središče
Središče,Rogatec
Ormož,Lendava
Lendava,Murska_Sobota
Murska_Sobota,Puconci
Puconci,Hodoš
Ormož,Ljutomer
Ljutomer,Murska_Sobota
Kamnik,Moste
